Database: amneal_dwi, Table Name: checklist_default_users
Database: amneal_migrated_dwi, Table Name: task_dependencies
Database: amneal_migrated_dwi, Table Name: trained_users
Database: amneal_migrated_dwi, Table Name: role_scope_groups_mapping
Database: amneal_migrated_dwi, Table Name: task_executor_locks
Database: amneal_migrated_dwi, Table Name: process_permissions
Database: amneal_migrated_dwi, Table Name: reviewers
Database: amneal_migrated_dwi, Table Name: permissions
Database: amneal_migrated_dwi, Table Name: user_group_audits
Database: amneal_migrated_dwi, Table Name: exceptions
Database: amneal_migrated_dwi, Table Name: trained_user_tasks_mapping
Database: amneal_migrated_dwi, Table Name: user_roles_mapping
Database: amneal_migrated_dwi, Table Name: client_facility_mapping
Database: amneal_migrated_dwi, Table Name: user_audits
Database: amneal_migrated_dwi, Table Name: client_credentials
Database: amneal_migrated_dwi, Table Name: licenses
Database: amneal_migrated_dwi, Table Name: challenge_questions
Database: amneal_migrated_dwi, Table Name: tokens
Database: amneal_migrated_dwi, Table Name: scopes
Database: amneal_migrated_dwi, Table Name: password_policies
Database: amneal_migrated_dwi, Table Name: user_facilities_mapping
Database: amneal_migrated_dwi, Table Name: scope_groups
Database: amneal_migrated_dwi, Table Name: organisation_facilities_mapping
Database: amneal_migrated_dwi, Table Name: roles
Database: amneal_migrated_dwi, Table Name: correctors
Database: amneal_migrated_dwi, Table Name: corrections
Database: amneal_migrated_dwi, Table Name: corrections_media_mapping
Database: amneal_migrated_dwi, Table Name: organisation_services_mapping
Database: amneal_migrated_dwi, Table Name: exception_reviewers
Database: amneal_migrated_dwi, Table Name: services
Database: amneal_migrated_dwi, Table Name: user_groups
Database: amneal_migrated_dwi, Table Name: user_group_members
Database: amneal_migrated_dwi, Table Name: trained_users_process_permissions_mapping
Database: amneal_migrated_dwi, Table Name: role_permissions_mapping
Database: amneal_migrated_dwi, Table Name: password_history
Database: amneal_migrated_dwi, Table Name: organisation_settings
